Row#,Declared Class (EJP/ERDERA docs),Declared Property,Declared Cardinality,Shipped Shape (SHACL),Shipped Property,Shipped Cardinality,Status,Notes
4,dcat:Dataset,dct:title,1,Resource (inherited),dct:title,1..1,MATCH,Docs and shipped code agree: mandatory-exactly-one.
5,dcat:Dataset,dct:description,0..*,Resource (inherited),dct:description,1..1,DOC IS STALE - shipped is stricter,Docs say zero-or-many; the shipped resource.shacl makes it mandatory and single (code comment: '# updated to mandatory'). Docs were not updated when this change shipped.
6,dcat:Dataset,dcat:theme,1..*,Resource (inherited),dcat:theme,1..*,MATCH,Docs and shipped code agree: mandatory one-or-many.
7,dcat:Dataset,dcat:keyword,0..*,Resource (inherited),dcat:keyword,1..*,DOC IS STALE - shipped is stricter,Docs say optional; shipped code requires at least one keyword.
8,dcat:Dataset,dct:license,1,Resource (inherited),dct:license,1..1,MATCH,Docs and shipped code agree: mandatory-exactly-one (also flagged '# updated' in code, but the value matches the doc).
9,dcat:Dataset,dct:hasVersion,1,Resource (inherited),dcat:version,0..1,DOC IS STALE - predicate renamed + shipped is looser,Shipped code uses dcat:version (DCAT3-aligned, matches where HealthDCAT R7 is headed) instead of dct:hasVersion, and made it optional instead of mandatory. Docs still describe the old predicate and the old mandatory cardinality.
10,dcat:Dataset,dct:publisher,1,Resource (inherited),dct:publisher -> :OrgShape,1..1,MATCH (cardinality); shipped range is stricter than docs describe,Shipped OrgShape additionally requires foaf:name(1..1) dct:description(1..1) and mandatory landingPage(1..1) on the Organisation - docs do not mention these sub-requirements.
11,dcat:Dataset,dcat:landingPage,0..1,Resource (inherited),dcat:landingPage,0..1,MATCH,Docs and shipped code agree: optional single value.
12,dcat:Dataset,dcat:distribution,0..*,structural (resource_definitions.json child relation),dcat:distribution,0..* (unconstrained/structural),MATCH,Not a SHACL cardinality constraint in shipped code; enforced only via the FDP resource-child UI relation, but behaviorally consistent with the doc.
13,dcat:Dataset,sio:SIO_000001 (Related EJP resource),1,-,-,ABSENT,DOC IS STALE - property never shipped (or removed),No equivalent property exists anywhere in the shipped Dataset/Resource shapes, though the docs mark it mandatory (1). Confirm with your colleague whether this was dropped deliberately or just never implemented.
14,ejp:PatientRegistry,dct:title,1,Resource (inherited via PatientRegistryShape),dct:title,1..1,MATCH,Inherited from Resource; docs and shipped code agree.
15,ejp:PatientRegistry,ejp:populationCoverage,0..*,PatientRegistryShape,ejp:populationCoverage -> :AnnotationShape,0..* (unconstrained),MATCH,No min/maxCount set in patient-registry.shacl; effectively open cardinality, consistent with the doc.
16,ejp:Biobank,ejp:populationCoverage,0..*,BiobankShape,ejp:populationCoverage -> :AnnotationShape,0..* (unconstrained),MATCH,No min/maxCount set in biobank.shacl; consistent with the doc.
17,ejp:Biobank,dcat:theme,1..*,Resource (inherited via BiobankShape),dcat:theme,1..*,MATCH,Inherited from Resource; docs and shipped code agree.
18,ejp:Guideline,dct:title,1,Resource (inherited via GuidelineShape),dct:title,1..1,MATCH,guideline.shacl adds zero properties of its own; everything comes from Resource inheritance, consistent with the doc.
19,foaf:Organisation,dct:title (Organisation title),1,OrgShape,foaf:name,1..1,DOC IS STALE - predicate renamed,Shipped code uses foaf:name instead of dct:title (cardinality is unchanged: mandatory-exactly-one). Docs still show the old predicate.
20,foaf:Organisation,dct:description (Organisation description),0..*,OrgShape,dct:description,1..1,DOC IS STALE - shipped is stricter,Docs say optional/multi; shipped code is mandatory-exactly-one.
21,foaf:Organisation,dct:spatial (Organisation location),0..*,OrgShape,-,ABSENT,DOC IS STALE - property never shipped (or removed),No dct:spatial (or equivalent location) property exists in the shipped OrgShape. Shipped code instead adds a mandatory dcat:landingPage(1..1) on the Organisation that the docs do not mention at this class level.
22,foaf:Organisation,foaf:page (Organisation page),1,OrgShape,-,ABSENT (nearest analogue: dcat:landingPage 1..1),DOC IS STALE - property replaced,foaf:page was never shipped; the closest shipped equivalent is dcat:landingPage, which is also mandatory but a different predicate/semantics (About Page vs Homepage) and undocumented as a replacement.
23,dcat:Distribution,dct:title,1,DistributionShape (does NOT inherit Resource),-,ABSENT,DOC IS STALE (docs assume an inheritance shipped code does not have),dcat:Distribution is not a subclass of dcat:Resource in DCAT/DCAT3. Shipped distribution.shacl deliberately does not inherit Resource, so it carries none of title/description/license/version/publisher. This is DCAT-spec-correct in the shipped code; the docs are simply wrong to assume Distribution has these Resource-derived properties.
24,dcat:Distribution,dct:description,0..*,DistributionShape (does NOT inherit Resource),-,ABSENT,DOC IS STALE (same reason as row 23),Docs assume Resource-level inheritance that the shipped Distribution shape correctly does not have.
25,dcat:Distribution,dcat:downloadURL,choice with accessURL,DistributionShape,-,ABSENT,DOC IS STALE - property never shipped (or removed),dcat:downloadURL is not defined anywhere in the shipped distribution.shacl.
26,dcat:Distribution,dcat:accessURL,choice with downloadURL,DistributionShape,dcat:accessURL,1..* (mandatory; no maxCount),DOC IS STALE - shipped semantics changed,Docs describe access/download as alternatives (choice); shipped code makes accessURL unconditionally mandatory and has no downloadURL option at all. This is a real behavior change the docs don't reflect.
27,dcat:Distribution,dcat:mediaType,0..*,DistributionShape,-,ABSENT (referenced only in resource_definitions.json listView metadata),DOC IS STALE - no SHACL constraint shipped,mediaType appears only as a UI list-column reference for Dataset's distribution children in shipped code, not as a validated property of DistributionShape.
28,dcat:Distribution,dct:license,1,DistributionShape (does NOT inherit Resource),-,ABSENT,DOC IS STALE (same reason as row 23),Docs assume Resource-level inheritance the shipped Distribution shape correctly does not have.
29,dcat:Distribution,dct:hasVersion,1,DistributionShape (does NOT inherit Resource),-,ABSENT,DOC IS STALE (same reason as row 23),Docs assume Resource-level inheritance the shipped Distribution shape correctly does not have.
30,dcat:Distribution,dct:publisher,1,DistributionShape (does NOT inherit Resource),-,ABSENT,DOC IS STALE (same reason as row 23),Docs assume Resource-level inheritance the shipped Distribution shape correctly does not have; a Distribution's publisher is reasonably inherited semantically from its parent Dataset instead.
31,dcat:Distribution,dct:isPartOf (Part of dataset),0..*,DistributionShape,-,ABSENT,DOC IS STALE - property never shipped (or removed),No explicit dct:isPartOf constraint in shipped code; the Dataset->Distribution relationship exists only as the forward dcat:distribution child link, not as a validated inverse property on Distribution.
32,dcat:DataService,dct:title,1,Resource (inherited),dct:title,1..1,MATCH,Inherited from Resource; docs and shipped code agree.
33,dcat:DataService,dct:description,0..*,Resource (inherited),dct:description,1..1,DOC IS STALE - shipped is stricter,Same Resource-level constraint as rows 5/24.
34,dcat:DataService,dcat:endpointURL,1,DataServiceShape,dcat:endpointURL,0..1,DOC IS STALE - shipped is LOOSER,"Docs say mandatory-exactly-one; shipped data-service.shacl makes it fully optional (no minCount). Worth checking whether this was an intentional relaxation or an accidental drop when the shape was last edited."
35,dcat:DataService,dcat:servesDataset,1,DataServiceShape,dcat:servesDataset,0..1 (explicit minCount 0),DOC IS STALE - shipped is LOOSER,Docs say mandatory-exactly-one; shipped code explicitly sets sh:minCount 0, making it optional.
36,dcat:DataService,dct:license,1,Resource (inherited),dct:license,1..1,MATCH,Inherited from Resource; docs and shipped code agree.
