EJP-RD v1.0 → HealthDCAT-AP Release 7 — audit mapping,,,,,,,,,,,,,,,
EJP source: https://github.com/ejp-rd-vp/resource-metadata-schema. R7 source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/.,,,,,,,,,,,,,,,
EJP-RD v1.0 — Source class (source: https://github.com/ejp-rd-vp/resource-metadata-schema),EJP-RD v1.0 — Source property / CURIE (source: schema docs; see per-class source URLs below),EJP-RD v1.0 — Property label,EJP-RD v1.0 — Cardinality in ShEx,EJP-RD v1.0 — Range in ShEx,HealthDCAT-AP R7 — Target class (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),HealthDCAT-AP R7 — Target property URI (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),HealthDCAT-AP R7 — Property label (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),HealthDCAT-AP R7 — Cardinality (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),HealthDCAT-AP R7 — Range (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),HealthDCAT-AP R7 — Vocabulary/NAL (source: https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/),Mapping type — decision rule in README,Constraint delta — factual comparison of source vs target,EJP implementation action,Priority,Notes / caveats
dcat:Dataset,dct:title,Title,1,xsd:string,dcat:Dataset,http://purl.org/dc/terms/title,Title,1..*,rdfs:Literal,—,DIRECT-SAME-URI+CONSTRAINT,EJP max 1 vs R7 1..*,Relax max cardinality; allow multilingual/multiple titles,P1,One EJP title can already satisfy the minimum; change is needed to permit full R7 cardinality.
dcat:Dataset,dct:description,Description,0..*,xsd:string,dcat:Dataset,http://purl.org/dc/terms/description,Description,1..*,rdfs:Literal,—,DIRECT-SAME-URI+CONSTRAINT,EJP min 0 vs R7 min 1,Make description mandatory; use literal/langString,P0,This is a conformance-affecting change.
dcat:Dataset,dcat:theme,Theme,1..*,IRI,dcat:Dataset,http://www.w3.org/ns/dcat#theme,Theme,0..*,skos:Concept,EU Dataset Theme vocabulary (DCAT-AP context),DIRECT-SAME-URI+CONSTRAINT,EJP range is unconstrained IRI; R7 expects Concept,Type theme values as skos:Concept; preserve EJP domain themes where concept URIs are used,P1,Do not drop Orphanet or other EJP domain themes solely to satisfy DCAT-AP interoperability; validate concept typing/vocabulary separately.
dcat:Dataset,dcat:keyword,Keyword,0..*,xsd:string,dcat:Dataset,http://www.w3.org/ns/dcat#keyword,Keyword,0..*,rdfs:Literal,—,DIRECT-SAME-URI,No material constraint change,Keep,P2,
dcat:Dataset,dct:license,License,1,IRI,dcat:Dataset,http://purl.org/dc/terms/license,License,0..1 (inherited),dct:LicenseDocument,—,DIRECT-SAME-URI+CONSTRAINT,EJP is mandatory; R7 profile range is a Licence Document,Retain property; type linked resource as dct:LicenseDocument and validate profile inheritance,P1,*R7 license constraint is inherited from the DCAT-AP/HealthDCAT profile; verify against the live R7 validator.
dcat:Dataset,dct:hasVersion,Version,1,xsd:string,dcat:Dataset,http://www.w3.org/ns/dcat#version,Version,0..1,rdfs:Literal,—,REPLACE-URI,Official URI changes; direction changes from relation-like dct property to literal dcat property,Replace dct:hasVersion with dcat:version; add dcat:hasVersion for links to versioned datasets,P0,This is a DCAT 2→DCAT 3 migration issue.
dcat:Dataset,dct:publisher,Publisher,1,EJP organisationShape,dcat:Dataset,http://purl.org/dc/terms/publisher,Publisher,0..1,foaf:Agent / Agent,—,DIRECT-SAME-URI+CONSTRAINT,EJP min 1 vs R7 0..1; range must be compatible with Agent,Keep property; broaden target range model to Agent/Organisation and retain EJP minimum 1 if operationally desired,P1,
dcat:Dataset,dcat:landingPage,Landing page,0..1,IRI,dcat:Dataset,http://www.w3.org/ns/dcat#landingPage,Landing page,0..*,foaf:Document,—,DIRECT-SAME-URI+CONSTRAINT,Range more specific in R7; EJP has narrower cardinality,Keep property; model landing page as Document and optionally allow multiple,P2,
dcat:Dataset,dcat:distribution,Distribution,0..*,IRI,dcat:Dataset,http://www.w3.org/ns/dcat#distribution,Dataset distribution,0..*,dcat:Distribution,—,DIRECT-SAME-URI+CONSTRAINT,"Object should be a typed dcat:Distribution, not just an unconstrained IRI",Keep; validate target nodes as dcat:Distribution,P1,"Release 7 page lists 0..* on the Dataset property table; other HealthDCAT materials have access-level mandatory distribution rules, so keep validation source-specific."
dcat:Dataset,sio:SIO_000001,Related EJP resource,1,IRI,dcat:Dataset,http://www.w3.org/ns/dcat#qualifiedRelation,Qualified relation,0..*,dcat:Relationship,—,SEMANTIC-TRANSFORM,EJP uses a custom/simple SIO relation; R7 provides qualified relation for typed relationships,Keep SIO relation for backward compatibility; optionally add a dcat:qualifiedRelation structure for interoperable relation semantics,P2,Do not mechanically replace without deciding the relation semantics between dataset and registry/biobank.
