Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
Python,CVE-2025-43859,h11,0.14.0,0.16.0,CRITICAL,h11: h11 accepts some malformed Chunked-Encoding bodies,https://avd.aquasec.com/nvd/cve-2025-43859
Python,CVE-2024-6345,setuptools,69.2.0,70.0.0,HIGH,pypa/setuptools: Remote code execution via download functions in the package_index module in pypa/setuptools,https://avd.aquasec.com/nvd/cve-2024-6345
Python,CVE-2025-47273,setuptools,69.2.0,78.1.1,HIGH,setuptools: Path Traversal Vulnerability in setuptools PackageIndex,https://avd.aquasec.com/nvd/cve-2025-47273
Python,CVE-2025-62727,starlette,0.41.3,0.49.1,HIGH,starlette: Starlette DoS via Range header merging,https://avd.aquasec.com/nvd/cve-2025-62727
Python,CVE-2026-48818,starlette,0.41.3,1.1.0,HIGH,starlette: Starlette: SSRF and NTLM credential theft via UNC paths in StaticFiles on Windows,https://avd.aquasec.com/nvd/cve-2026-48818
Python,CVE-2026-54283,starlette,0.41.3,1.3.1,HIGH,starlette: Starlette: request.form() limits silently ignored for application/x-www-form-urlencoded enable DoS,https://avd.aquasec.com/nvd/cve-2026-54283
Python,CVE-2025-66418,urllib3,2.2.3,2.6.0,HIGH,urllib3: urllib3: Unbounded decompression chain leads to resource exhaustion,https://avd.aquasec.com/nvd/cve-2025-66418
Python,CVE-2025-66471,urllib3,2.2.3,2.6.0,HIGH,urllib3: urllib3 Streaming API improperly handles highly compressed data,https://avd.aquasec.com/nvd/cve-2025-66471
Python,CVE-2026-21441,urllib3,2.2.3,2.6.3,HIGH,urllib3: urllib3 vulnerable to decompression-bomb safeguard bypass when following HTTP redirects (streaming API),https://avd.aquasec.com/nvd/cve-2026-21441
Python,CVE-2026-44431,urllib3,2.2.3,2.7.0,HIGH,urllib3: urllib3: Information disclosure via cross-origin redirects forwarding sensitive headers,https://avd.aquasec.com/nvd/cve-2026-44431
Python,CVE-2026-24049,wheel,0.43.0,0.46.2,HIGH,wheel: wheel: Privilege Escalation or Arbitrary Code Execution via malicious wheel file unpacking,https://avd.aquasec.com/nvd/cve-2026-24049
