Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
Node.js,CVE-2026-59869,js-yaml,3.13.1,"3.15.0, 4.3.0",HIGH,js-yaml: js-yaml: Denial of Service via crafted YAML documents,https://avd.aquasec.com/nvd/cve-2026-59869
Node.js,GHSA-5p4m-2wfm-xmqj,js-yaml,3.13.1,"4.3.1, 3.15.1",HIGH,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) — CVE-2026-59870 fix not backported,https://github.com/advisories/GHSA-5p4m-2wfm-xmqj
usr/bin/bsondump,CVE-2026-56854,golang.org/x/crypto,v0.54.0,0.55.0,CRITICAL,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authentication bypass due to unenforced source-address restrictions,https://avd.aquasec.com/nvd/cve-2026-56854
usr/bin/bsondump,CVE-2026-33818,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,encoding/asn1: golang: Go encoding/asn1: Denial of Service via excessive recursion in Unmarshal,https://avd.aquasec.com/nvd/cve-2026-33818
usr/bin/bsondump,CVE-2026-39821,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing,https://avd.aquasec.com/nvd/cve-2026-39821
usr/bin/bsondump,CVE-2026-46600,stdlib,v1.26.5,"1.26.6, 1.27.0-rc.3",HIGH,golang.org/x/net/dns/dnsmessage: golang.org/x/net/dns/dnsmessage: Denial of Service via invalid DNS record parsing,https://avd.aquasec.com/nvd/cve-2026-46600
usr/bin/bsondump,CVE-2026-56853,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,net/http: golang: Go net/http: Unencrypted HTTP/2 connections vulnerable to Denial of Service,https://avd.aquasec.com/nvd/cve-2026-56853
usr/bin/bsondump,CVE-2026-56858,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,html/template: golang: Go html/template: Cross-Site Scripting via pathological input,https://avd.aquasec.com/nvd/cve-2026-56858
usr/bin/bsondump,CVE-2026-56859,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,encoding/xml: golang: Go: Denial of Service via XML decoding recursion depth issue,https://avd.aquasec.com/nvd/cve-2026-56859
usr/bin/bsondump,CVE-2026-56860,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,net/url: golang: golang net/url: Denial of Service from quadratic complexity in path resolution,https://avd.aquasec.com/nvd/cve-2026-56860
usr/bin/bsondump,CVE-2026-56862,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,crypto/tls: golang: Golang crypto/tls: Denial of Service via indefinite KeyUpdate messages,https://avd.aquasec.com/nvd/cve-2026-56862
usr/bin/mongodump,CVE-2026-56854,golang.org/x/crypto,v0.54.0,0.55.0,CRITICAL,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authentication bypass due to unenforced source-address restrictions,https://avd.aquasec.com/nvd/cve-2026-56854
usr/bin/mongodump,CVE-2026-33818,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,encoding/asn1: golang: Go encoding/asn1: Denial of Service via excessive recursion in Unmarshal,https://avd.aquasec.com/nvd/cve-2026-33818
usr/bin/mongodump,CVE-2026-39821,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing,https://avd.aquasec.com/nvd/cve-2026-39821
usr/bin/mongodump,CVE-2026-46600,stdlib,v1.26.5,"1.26.6, 1.27.0-rc.3",HIGH,golang.org/x/net/dns/dnsmessage: golang.org/x/net/dns/dnsmessage: Denial of Service via invalid DNS record parsing,https://avd.aquasec.com/nvd/cve-2026-46600
usr/bin/mongodump,CVE-2026-56853,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,net/http: golang: Go net/http: Unencrypted HTTP/2 connections vulnerable to Denial of Service,https://avd.aquasec.com/nvd/cve-2026-56853
usr/bin/mongodump,CVE-2026-56858,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,html/template: golang: Go html/template: Cross-Site Scripting via pathological input,https://avd.aquasec.com/nvd/cve-2026-56858
usr/bin/mongodump,CVE-2026-56859,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,encoding/xml: golang: Go: Denial of Service via XML decoding recursion depth issue,https://avd.aquasec.com/nvd/cve-2026-56859
usr/bin/mongodump,CVE-2026-56860,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,net/url: golang: golang net/url: Denial of Service from quadratic complexity in path resolution,https://avd.aquasec.com/nvd/cve-2026-56860
usr/bin/mongodump,CVE-2026-56862,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,crypto/tls: golang: Golang crypto/tls: Denial of Service via indefinite KeyUpdate messages,https://avd.aquasec.com/nvd/cve-2026-56862
usr/bin/mongoexport,CVE-2026-56854,golang.org/x/crypto,v0.54.0,0.55.0,CRITICAL,golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authentication bypass due to unenforced source-address restrictions,https://avd.aquasec.com/nvd/cve-2026-56854
usr/bin/mongoexport,CVE-2026-33818,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,encoding/asn1: golang: Go encoding/asn1: Denial of Service via excessive recursion in Unmarshal,https://avd.aquasec.com/nvd/cve-2026-33818
usr/bin/mongoexport,CVE-2026-39821,stdlib,v1.26.5,"1.25.13, 1.26.6, 1.27.0-rc.3",HIGH,golang.org/x/net/idna: golang: net/http: golang.org/x/net/idna: Privilege escalation via incorrect Punycode label processing,https://avd.aquasec.com/nvd/cve-2026-39821
